0.496975 , 0.304985 , 0.99095 , 0.909955
0.4939 , 0.309939 , 0.981801 , 0.919819
0.490776 , 0.314863 , 0.972554 , 0.929591
0.487603 , 0.319755 , 0.96321 , 0.939269
0.484381 , 0.324615 , 0.953769 , 0.948854
0.481111 , 0.329442 , 0.944233 , 0.958344
0.477793 , 0.334237 , 0.934602 , 0.967739
0.474426 , 0.338998 , 0.924878 , 0.977036
0.471013 , 0.343725 , 0.915062 , 0.986236
0.467552 , 0.348418 , 0.905154 , 0.995337
0.464045 , 0.353076 , 0.895156 , 1.00434
0.460491 , 0.357699 , 0.885068 , 1.01324
0.456891 , 0.362286 , 0.874891 , 1.02204
0.453245 , 0.366836 , 0.864627 , 1.03074
0.449554 , 0.37135 , 0.854277 , 1.03933
0.445818 , 0.375827 , 0.843841 , 1.04782
0.442038 , 0.380267 , 0.833321 , 1.05621
0.438213 , 0.384668 , 0.822717 , 1.06449
0.434344 , 0.389031 , 0.812031 , 1.07266
0.430432 , 0.393355 , 0.801264 , 1.08073
0.426477 , 0.397639 , 0.790417 , 1.08869
0.42248 , 0.401884 , 0.779491 , 1.09654
0.41844 , 0.406089 , 0.768487 , 1.10428
0.414358 , 0.410253 , 0.757406 , 1.11191
0.410235 , 0.414376 , 0.746249 , 1.11943
0.406071 , 0.418457 , 0.735017 , 1.12683
0.401866 , 0.422497 , 0.723713 , 1.13413
0.397621 , 0.426494 , 0.712335 , 1.14131
0.393336 , 0.430449 , 0.700887 , 1.14837
0.389012 , 0.434361 , 0.689368 , 1.15532
0.384649 , 0.438229 , 0.677781 , 1.16216
0.380248 , 0.442054 , 0.666126 , 1.16888
0.375808 , 0.445834 , 0.654404 , 1.17548
0.371331 , 0.44957 , 0.642616 , 1.18197
0.366817 , 0.453261 , 0.630765 , 1.18833
0.362266 , 0.456906 , 0.61885 , 1.19458
0.357679 , 0.460506 , 0.606873 , 1.20071
0.353056 , 0.46406 , 0.594836 , 1.20672
0.348398 , 0.467567 , 0.582739 , 1.21261
0.343705 , 0.471027 , 0.570584 , 1.21837
0.338978 , 0.474441 , 0.558372 , 1.22402
0.334216 , 0.477807 , 0.546105 , 1.22954
0.329422 , 0.481125 , 0.533782 , 1.23494
0.324594 , 0.484395 , 0.521406 , 1.24022
0.319734 , 0.487617 , 0.508978 , 1.24537
0.314842 , 0.49079 , 0.496499 , 1.2504
0.309918 , 0.493914 , 0.483971 , 1.2553
0.304964 , 0.496988 , 0.471394 , 1.26007
0.299979 , 0.500013 , 0.45877 , 1.26473
0.294964 , 0.502988 , 0.4461 , 1.26925
0.289919 , 0.505912 , 0.433385 , 1.27365
0.284846 , 0.508786 , 0.420627 , 1.27792
0.279744 , 0.511609 , 0.407827 , 1.28206
0.274614 , 0.514381 , 0.394986 , 1.28607
0.269456 , 0.517101 , 0.382106 , 1.28996
0.264272 , 0.51977 , 0.369188 , 1.29372
0.259061 , 0.522386 , 0.356232 , 1.29734
0.253824 , 0.524951 , 0.343241 , 1.30084
0.248562 , 0.527463 , 0.330216 , 1.30421
0.243275 , 0.529922 , 0.317157 , 1.30744
0.237964 , 0.532328 , 0.304067 , 1.31055
0.232629 , 0.534681 , 0.290947 , 1.31353
0.22727 , 0.536981 , 0.277797 , 1.31637
0.221889 , 0.539226 , 0.26462 , 1.31908
0.216486 , 0.541418 , 0.251416 , 1.32166
0.211061 , 0.543556 , 0.238187 , 1.32411
0.205615 , 0.545639 , 0.224934 , 1.32643
0.200148 , 0.547668 , 0.211659 , 1.32861
0.194662 , 0.549642 , 0.198363 , 1.33066
0.189156 , 0.551561 , 0.185046 , 1.33258
0.183631 , 0.553425 , 0.171711 , 1.33436
0.178087 , 0.555234 , 0.15836 , 1.33601
0.172526 , 0.556987 , 0.144992 , 1.33753
0.166948 , 0.558685 , 0.131609 , 1.33891
0.161353 , 0.560326 , 0.118214 , 1.34016
0.155742 , 0.561912 , 0.104807 , 1.34127
0.150115 , 0.563441 , 0.091389 , 1.34225
0.144473 , 0.564914 , 0.0779621 , 1.3431
0.138817 , 0.56633 , 0.0645274 , 1.34381
0.133147 , 0.56769 , 0.0510862 , 1.34439
0.127463 , 0.568993 , 0.03764 , 1.34484
0.121767 , 0.570239 , 0.02419 , 1.34514
0.116058 , 0.571428 , 0.0107375 , 1.34532
0.110338 , 0.57256 , -0.00271598 , 1.34536
0.104607 , 0.573635 , -0.0161692 , 1.34527
0.098866 , 0.574653 , -0.0296208 , 1.34504
0.0931146 , 0.575612 , -0.0430695 , 1.34467
0.0873539 , 0.576515 , -0.0565138 , 1.34417
0.0815845 , 0.577359 , -0.0699525 , 1.34354
0.0758069 , 0.578146 , -0.0833843 , 1.34278
0.0700218 , 0.578876 , -0.0968076 , 1.34187
0.0642296 , 0.579547 , -0.110221 , 1.34084
0.058431 , 0.58016 , -0.123624 , 1.33967
0.0526266 , 0.580715 , -0.137014 , 1.33837
0.0468169 , 0.581213 , -0.150391 , 1.33693
0.0410025 , 0.581652 , -0.163752 , 1.33536
0.0351841 , 0.582033 , -0.177098 , 1.33366
0.0293621 , 0.582355 , -0.190425 , 1.33182
0.0235371 , 0.58262 , -0.203734 , 1.32985
0.0177099 , 0.582826 , -0.217022 , 1.32774
0.0118808 , 0.582974 , -0.230288 , 1.32551
0.00605057 , 0.583064 , -0.243531 , 1.32314
0.000219726 , 0.583095 , -0.25675 , 1.32064
-0.00561114 , 0.583068 , -0.269944 , 1.318
-0.0114414 , 0.582983 , -0.28311 , 1.31524
-0.0172706 , 0.582839 , -0.296248 , 1.31234
